date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.975;F_est;F_0.025;F_0.975
2021-11-01;0-60;53;59,6;55;65;429;480,2;465;499;0,8889439216322741;0,902721930001215;0,8714052034646613
2021-11-01;60+;123;136,1;129;144;782;854,2;835;878;0,9036979616463461;0,915517056207421;0,8887679620989414
2021-11-01;alle;176;195,7;187;206;1211;1334,4;1308;1367;NA;NA;NA
2021-10-31;0-60;60;67,3;63;73;443;491,9;477;510;0,8918081688543975;0,906458007361597;0,8721660129802177
2021-10-31;60+;96;105,7;100;113;774;838,1;820;860;0,9078026009852999;0,920349381038580;0,8910050465062895
2021-10-31;alle;156;173,0;165;182;1217;1330,0;1305;1362;NA;NA;NA
2021-10-30;0-60;61;68,8;64;75;424;468,1;454;485;0,8865063159675430;0,902485763923549;0,8648525945765548
2021-10-30;60+;104;114,8;109;122;741;798,1;782;819;0,9061106397208281;0,919584591878008;0,8875867097363281
2021-10-30;alle;165;183,6;176;194;1165;1266,2;1243;1297;NA;NA;NA
2021-10-29;0-60;83;94,5;88;102;396;434,4;421;450;0,8786416375413126;0,895874299397360;0,8547190614958887
2021-10-29;60+;138;152,9;146;162;703;752,3;737;772;0,9025454582242346;0,917030207602248;0,8815962813225765
2021-10-29;alle;221;247,4;237;260;1099;1186,7;1165;1214;NA;NA;NA
2021-10-28;0-60;64;72,4;67;79;365;395,3;384;409;0,8836458302006914;0,901398261544984;0,8601148466760986
2021-10-28;60+;113;124,0;118;132;649;687,5;674;704;0,9114416770514117;0,925566670228788;0,8918300994961705
2021-10-28;alle;177;196,4;188;207;1014;1082,8;1064;1107;NA;NA;NA
2021-10-27;0-60;53;58,2;54;63;353;377,9;368;391;0,9110596415899739;0,925892490797953;0,8915621411518999
2021-10-27;60+;99;105,7;101;112;606;636,5;625;652;0,9369571588209235;0,947710505655982;0,9224003703758993
2021-10-27;alle;152;163,8;157;172;959;1014,4;998;1036;NA;NA;NA
2021-10-26;0-60;55;59,5;56;64;352;373,8;364;386;0,9247746374085721;0,938327011869012;0,9069053532933299
2021-10-26;60+;109;115,0;111;120;583;609,0;598;623;0,9478135272529645;0,957564314232418;0,9345025292563103
2021-10-26;alle;164;174,5;168;182;935;982,8;967;1003;NA;NA;NA
2021-10-25;0-60;67;71,3;68;76;361;380,5;372;392;0,9401203094336315;0,951612921666418;0,9243421746816298
2021-10-25;60+;115;120,0;116;125;548;569,8;560;583;0,9583077922847080;0,966783522487508;0,9460153624500451
2021-10-25;alle;182;191,3;186;198;909;950,3;936;969;NA;NA;NA
2021-10-24;0-60;41;43,5;41;47;356;372,7;364;384;0,9425172013589760;0,954518046787675;0,9248918508138653
2021-10-24;60+;63;65,8;63;70;498;516,2;507;529;0,9581286610672827;0,967745278345720;0,9432585635710371
2021-10-24;alle;104;109,3;105;115;854;888,9;876;906;NA;NA;NA
2021-10-23;0-60;33;35,1;33;38;355;370,2;362;381;0,9413363300118671;0,954385830458748;0,9215864183506579
2021-10-23;60+;66;69,0;66;73;487;503,6;495;515;0,9564254455441091;0,967125803137802;0,9391200954026836
2021-10-23;alle;99;104,1;100;109;842;873,7;861;890;NA;NA;NA
2021-10-22;0-60;52;55,4;52;60;353;366,8;359;377;0,9391849678282380;0,953057468711915;0,9173765197250510
2021-10-22;60+;84;88,1;85;93;462;476,5;469;487;0,9536644105459643;0,965767700400965;0,9334282769680265
2021-10-22;alle;136;143,4;139;150;815;843,3;832;859;NA;NA;NA
2021-10-21;0-60;52;55,0;52;59;331;342,0;336;351;0,9447461160805964;0,957979382012217;0,9242109533821455
2021-10-21;60+;70;73,0;70;77;447;459,0;452;469;0,9587648622782782;0,969865441843579;0,9405092814288256
2021-10-21;alle;122;128,1;124;134;778;801,1;791;815;NA;NA;NA
2021-10-20;0-60;52;54,1;52;58;314;322,5;317;330;0,9608924853972214;0,970765648700846;0,9462188990036722
2021-10-20;60+;76;78,2;76;82;435;445,0;439;454;0,9722410132555229;0,979568825766069;0,9606898523794906
2021-10-20;alle;128;132,3;129;137;749;767,5;759;780;NA;NA;NA
2021-10-19;0-60;64;66,1;64;70;300;306,6;302;314;0,9681432750998886;0,977000752920240;0,9547767820684062
2021-10-19;60+;74;75,8;74;79;417;425,3;420;434;0,9761452859541134;0,983041613795001;0,9655685041599840
2021-10-19;alle;138;141,9;139;147;717;731,9;724;743;NA;NA;NA
2021-10-18;0-60;62;63,6;62;67;277;281,7;278;287;0,9755177957862585;0,983145166646102;0,9632116637563667
2021-10-18;60+;65;66,3;65;69;401;407,8;403;415;0,9799262092756530;0,986295046879902;0,9698550975110162
2021-10-18;alle;127;129,9;127;134;678;689,5;683;699;NA;NA;NA
2021-10-17;0-60;40;40,9;40;43;252;255,1;252;260;0,9771259558863646;0,985204666110308;0,9629302046192900
2021-10-17;60+;52;53,2;52;56;395;400,6;396;407;0,9783522811189732;0,986115432476058;0,9652915149303725
2021-10-17;alle;92;94,1;92;98;647;655,8;650;664;NA;NA;NA
2021-10-16;0-60;31;31,7;31;34;234;236,2;234;240;0,9785527884749230;0,986941489509492;0,9636176378965908
2021-10-16;60+;41;41,9;41;44;379;383,5;380;389;0,9776304815689199;0,986232363473864;0,9626603376965819
2021-10-16;alle;72;73,6;72;77;613;619,7;615;627;NA;NA;NA
2021-10-15;0-60;30;30,6;30;33;232;233,5;232;237;0,9803250810450148;0,988691141198763;0,9645752772737164
2021-10-15;60+;69;70,6;69;74;370;373,5;370;379;0,9770652795270542;0,986550550351134;0,9601448285747504
2021-10-15;alle;99;101,2;99;105;602;607,1;603;613;NA;NA;NA
2021-10-14;0-60;35;35,5;35;37;242;242,9;242;246;0,9861727372569434;0,992353938839534;0,9738485029410653
2021-10-14;60+;58;59,0;58;62;353;354,9;353;359;0,9827521075145873;0,990241517741704;0,9687474140313973
2021-10-14;alle;93;94,5;93;98;595;597,8;595;602;NA;NA;NA
2021-10-13;0-60;38;38,2;38;40;239;239,4;239;241;0,9936947372661061;0,996597530767468;0,9878571234291538
2021-10-13;60+;58;58,5;58;60;335;335,9;335;338;0,9920741168498605;0,995517223964148;0,9856887495954419
2021-10-13;alle;96;96,7;96;99;574;575,3;574;578;NA;NA;NA
2021-10-12;0-60;41;41,1;41;42;235;235,2;235;236;0,9964320120038029;0,998213692184010;0,9927206010180165
2021-10-12;60+;58;58,3;58;60;319;319,4;319;321;0,9949908289498818;0,997317302371275;0,9906001237433322
2021-10-12;alle;99;99,4;99;101;554;554,6;554;557;NA;NA;NA
2021-10-11;0-60;37;37,1;37;38;229;229,1;229;230;0,9985777674144855;0,999345440524419;0,9968871247662356
2021-10-11;60+;59;59,1;59;60;313;313,1;313;314;0,9977169863533762;0,998861839169237;0,9954013029053557
2021-10-11;alle;96;96,2;96;97;542;542,2;542;543;NA;NA;NA
2021-10-10;0-60;22;22,0;22;22;228;228,0;228;228;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-10;60+;36;36,0;36;36;312;312,0;312;312;1,0000000000000000;1,000000000000000;1,0000000000000000
